week,max,min
1157,58,14
1158,35,17
1159,24,10
1160,42,15
1161,82,39
1162,94,29
1163,52,14
1164,136,18
1165,157,41
1166,49,25
1167,81,23
1168,108,26
1169,102,28
1170,80,60
1171,89,56
1172,227,33
1173,174,45
1174,111,33
1175,78,28
1176,154,19
1177,71,37
1178,151,43
1179,548,41
1180,132,47
1181,34,78
1182,57,40
1183,39,56
1184,29,66
1185,29,54
1186,31,78
1187,50,93
1188,23,73
1189,21,122
1190,13,20
1191,40,146
1192,26,119
1193,21,61
1194,37,163
1195,78,134
1196,79,293
1197,61,146
1198,37,277
1199,23,386
1200,86,278
1201,29,93
1202,50,54
1203,49,64
1204,79,187
1205,39,193
1206,25,88
1207,16,78
1208,39,57
1209,71,26
1210,41,43
1211,97,10
1212,109,22
1213,116,32
1214,59,12
1215,138,32
1216,73,7
1217,180,45
1218,229,28
1219,77,25
1220,68,26
1221,75,69
1222,243,166
1223,171,74
1224,207,30
1225,138,36
1226,204,42
1227,192,31
1228,53,23
1229,62,7
1230,227,50
1231,62,36
1232,37,20
1233,45,33
1234,81,65
1235,63,97
1236,48,208
1237,24,156
1238,34,84
1239,44,111
1240,38,118
1241,25,142
1242,34,168
1243,41,236
1244,48,157
1245,43,157
1246,27,425
1247,51,113
1248,37,28
1249,18,64
1250,22,56
1251,20,305
1252,89,129
1253,69,177
1254,27,666
1255,38,193
1256,27,240
1257,33,273
1258,17,127
1259,16,54
1260,64,45
1261,102,39
1262,54,24
1263,38,25
1264,94,15
1265,54,30
1266,57,28
1267,102,11
1268,84,24
1269,66,33
1270,106,21
1271,58,30
1272,88,22
1273,126,21
1274,122,40
1275,127,52
1276,189,35
1277,493,46
1278,163,44
1279,264,49
1280,254,50
1281,541,77
1282,376,86
1283,206,86
1284,118,37
1285,17,51
1286,39,31
1287,58,107
1288,35,34
1289,35,49
1290,42,59
1291,48,174
1292,34,150
1293,41,117
1294,29,61
1295,41,131
1296,45,91
1297,31,122
1298,22,235
1299,14,152
1300,74,120
1301,28,167
1302,49,33
1303,25,41
1304,95,231
1305,67,279
1306,81,58
1307,27,39
1308,57,63
1309,46,110
1310,37,80
1311,32,16
1312,38,40
1313,50,55
1314,98,32
1315,54,23
1316,53,31
1317,88,39
1318,77,32
1319,62,20
1320,132,16
1321,73,24
1322,126,18
1323,164,17
1324,94,21
1325,196,24
1326,156,49
1327,186,36
1328,301,47
1329,161,20
1330,125,59
1331,209,30
1332,249,24
1333,156,38
1334,325,81
1335,101,102
1336,111,16
1337,93,15
1338,27,66
1339,70,39
1340,14,46
1341,14,81
1342,36,89
1343,39,137
1344,42,51
1345,41,101
1346,22,128
1347,64,194
1348,55,266
1349,57,148
1350,29,109
1351,29,145
1352,47,216
1353,38,296
1354,66,200
1355,24,314
1356,53,198
1357,47,251
1358,58,183
1359,21,270
1360,32,339
1361,34,679
1362,62,123
1363,51,44
1364,47,77
1365,94,123
1366,150,49
1367,41,38
1368,23,21
1369,40,37
1370,300,20
1371,76,31
1372,162,34
1373,56,24
1374,62,47
1375,210,18
1376,131,41
1377,103,25
1378,191,23
1379,226,40
1380,63,25
1381,92,27
1382,247,146
1383,148,114
1384,146,61
1385,187,35
1386,140,41
1387,247,88
1388,213,61
1389,103,51
1390,122,47
1391,89,62
1392,31,90
1393,40,153
1394,19,236
1395,59,178
1396,61,187
1397,51,158
1398,30,249
1399,29,113
1400,36,206
1401,35,227
1402,31,206
1403,19,228
1404,63,161
1405,22,55
1406,31,229
1407,42,353
1408,46,407
1409,116,249
1410,21,406
1411,65,206
1412,8,107
1413,58,52
1414,33,44
1415,51,64
1416,76,36
1417,65,45
1418,47,39
1419,29,36
1420,70,16
1421,70,33
1422,66,41
1423,35,31
1424,42,28
1425,46,30
1426,91,34
1427,100,32
1428,141,24
1429,56,11
1430,178,124
1431,250,65
1432,123,50
1433,261,36
1434,256,80
1435,160,56
1436,216,101
1437,180,60
1438,174,30
1439,270,85
1440,155,60
1441,77,53
1442,45,47
1443,61,66
1444,50,90
1445,38,65
1446,40,109
1447,59,107
1448,60,192
1449,25,228
1450,22,203
1451,42,220
1452,56,107
1453,32,135
1454,18,268
1455,97,86
1456,74,123
1457,35,134
1458,25,512
1459,25,102
1460,30,163
1461,294,303
1462,64,271
1463,45,54
1464,20,90
1465,73,223
1466,83,98
1467,109,52
1468,102,56
1469,173,107
1470,111,157
1471,105,97
1472,117,34
1473,305,54
1474,218,77
1475,192,42
1476,255,25
1477,141,39
1478,253,66
1479,391,91
1480,360,54
1481,126,64
1482,305,85
1483,175,93
1484,267,47
1485,274,74
1486,486,45
1487,287,62
1488,329,45
1489,733,37
1490,280,56
1491,477,97
1492,255,37
1493,63,70
1494,46,53
1495,129,57
1496,139,90
1497,58,97
1498,30,123
1499,31,97
1500,71,255
1501,45,143
1502,52,173
1503,32,136
1504,58,221
1505,20,353
1506,34,154
1507,12,126
1508,37,62
1509,42,349
1510,64,216
1511,30,976
1512,37,199
1513,64,619
1514,45,175
1515,47,110
1516,27,215
1517,51,289
1518,46,107
1519,34,81
1520,23,27
1521,70,33
1522,29,47
1523,82,24
1524,75,8
1525,95,19
1526,172,40
1527,100,27
1528,144,33
1529,88,28
1530,179,66
1531,101,42
1532,82,23
1533,176,15
1534,175,24
1535,271,47
1536,247,35
1537,119,36
1538,204,48
1539,334,37
1540,194,26
1541,188,62
1542,287,36
1543,426,84
1544,76,71
1545,83,42
1546,87,24
1547,45,61
1548,74,63
1549,36,94
1550,32,97
1551,28,139
1552,90,174
1553,52,101
1554,25,178
1555,25,171
1556,36,153
1557,35,131
1558,21,115
1559,15,196
1560,44,185
1561,43,191
1562,21,140
1563,31,192
1564,20,187
1565,176,369
1566,107,93
1567,63,231
1568,68,388
1569,160,215
1570,129,48
1571,47,46
1572,77,31
1573,100,35
1574,110,37
1575,70,32
1576,47,23
1577,126,6
1578,195,29
1579,91,31
1580,215,74
1581,110,21
1582,184,54
1583,244,50
1584,130,28
1585,162,29
1586,212,31
1587,306,84
1588,227,34
1589,144,25
1590,128,16
1591,159,34
1592,191,43
1593,237,57
1594,180,32
1595,447,41
1596,82,30
1597,80,27
1598,335,40
1599,142,27
1600,395,80
1601,43,38
1602,50,72
1603,26,142
1604,54,118
1605,36,185
1606,26,50
1607,25,51
1608,26,107
1609,55,183
1610,16,299
1611,33,226
1612,55,84
1613,63,143
1614,43,344
1615,35,227
1616,26,236
1617,82,226
1618,76,140
1619,140,186
1620,48,93
1621,27,36
1622,53,174
1623,68,101
1624,43,38
1625,34,75
1626,99,98
1627,65,25
1628,66,32
1629,55,36
1630,134,48
1631,175,22
1632,109,37
1633,120,28
1634,171,29
1635,137,36
1636,154,40
1637,166,57
1638,100,36
1639,148,44
1640,146,34
1641,211,33
1642,203,31
1643,334,59
1644,306,47
1645,127,62
1646,247,34
1647,171,64
1648,511,52
1649,265,64
1650,72,56
1651,46,47
1652,56,65
1653,52,114
1654,59,113
1655,62,120
1656,74,154
1657,43,247
1658,38,148
1659,28,116
1660,42,189
1661,69,138
1662,14,131
1663,22,133
1664,32,291
1665,73,183
1666,35,169
1667,31,223
1668,55,401
1669,57,345
1670,103,248
1671,65,83
1672,40,225
1673,60,358
1674,81,148
1675,55,73
1676,60,29
1677,55,159
1678,46,227
1679,67,91
1680,86,22
1681,69,26
1682,139,41
1683,63,40
1684,305,23
1685,128,33
1686,131,34
1687,133,55
1688,175,32
1689,112,48
1690,129,19
1691,331,49
1692,147,27
1693,257,35
1694,328,34
1695,486,106
1696,532,34
1697,1155,56
1698,158,15
1699,115,17
1700,222,108
1701,177,64
1702,130,54
1703,75,41
1704,98,60
1705,96,92
1706,38,100
1707,37,178
1708,35,136
1709,45,155
1710,40,221
1711,57,182
1712,24,166
1713,77,275
1714,63,148
1715,32,188
1716,53,218
1717,50,330
1718,37,220
1719,82,133
1720,43,241
1721,45,240
1722,116,286
1723,24,272
1724,66,576
1725,102,492
1726,96,90
1727,24,148
1728,33,166
1729,137,357
1730,87,146
1731,207,145
1732,165,30
1733,102,23
1734,152,93
1735,138,45
1736,248,28
1737,165,18
1738,139,27
1739,247,37
1740,278,75
1741,184,47
1742,276,34
1743,179,54
1744,134,27
1745,207,25
1746,239,31
1747,251,41
1748,292,46
1749,513,41
1750,439,27
1751,221,49
1752,320,66
1753,693,50
1754,268,42
1755,98,38
1756,65,73
1757,29,62
1758,21,112
1759,20,76
1760,49,181
1761,80,118
1762,34,91
1763,31,82
1764,61,173
1765,65,258
1766,33,230
1767,34,124
1768,30,243
1769,22,191
1770,18,133
1771,19,177
1772,22,183
1773,14,161
1774,76,578
1775,20,220
1776,12,244
1777,13,439
1778,34,223
1779,30,38
1780,85,79
1781,56,16
1782,52,48
1783,85,34
1784,28,15
1785,71,15
1786,50,19
1787,56,41
1788,37,21
1789,100,5
1790,45,8
1791,120,57
1792,141,22
1793,51,14
1794,59,20
1795,113,36
1796,172,20
1797,110,28
1798,201,55
1799,87,14
1800,141,76
1801,166,32
1802,160,58
1803,138,29
1804,111,35
1805,118,47
1806,86,50
1807,49,35
1808,46,51
1809,62,85
1810,21,73
1811,28,135
1812,26,54
1813,62,151
1814,50,114
1815,12,122
1816,15,77
1817,44,179
1818,31,187
1819,23,136
1820,17,108
1821,55,220
1822,58,178
1823,18,207
1824,24,362
1825,27,364
1826,80,173
1827,54,100
1828,30,351
1829,31,165
1830,50,163
1831,53,70
1832,44,22
1833,24,26
1834,67,148
1835,98,51
1836,88,26
1837,46,29
1838,54,10
1839,155,25
1840,77,12
1841,124,14
1842,61,9
1843,102,16
1844,99,7
1845,72,8
1846,124,7
1847,129,24
1848,238,26
1849,163,21
1850,158,15
1851,245,19
1852,207,36
1853,327,22
1854,238,16
1855,372,16
1856,125,35
1857,92,28
1858,111,44
1859,119,24
1860,36,20
1861,41,67
1862,30,42
1863,28,51
1864,40,56
1865,68,95
1866,19,68
1867,15,72
1868,8,98
1869,43,145
1870,41,144
1871,21,136
1872,17,146
1873,8,164
1874,32,341
1875,41,265
1876,22,78
1877,28,52
1878,114,99
1879,38,97
1880,30,132
1881,32,325
1882,23,84
1883,32,60
1884,21,91
1885,33,321
1886,33,41
1887,35,48
1888,49,44
1889,26,15
1890,44,6
1891,73,20
1892,82,18
1893,89,10
1894,61,7
1895,82,21
1896,78,28
1897,79,26
1898,82,27
1899,176,19
1900,119,68
1901,175,51
1902,112,60
1903,157,18
1904,142,35
1905,135,25
1906,546,19
1907,560,18
1908,282,44
1909,144,40
1910,81,23
1911,45,14
1912,27,22
1913,61,86
1914,23,55
1915,16,99
1916,34,62
1917,35,72
1918,24,76
1919,9,135
1920,14,120
1921,18,137
1922,17,131
1923,17,59
1924,29,52
1925,14,184
1926,68,230
1927,30,136
1928,26,54
1929,6,59
1930,31,61
1931,26,63
1932,34,530
1933,14,58
1934,13,125
1935,55,257
1936,13,43
1937,33,92
1938,31,29
1939,72,78
1940,101,35
1941,51,20
1942,87,8
1943,48,32
1944,29,26
1945,57,7
1946,86,17
1947,124,32
1948,127,30
1949,116,16
1950,46,23
1951,95,33
1952,171,32
1953,139,28
1954,119,18
1955,90,36
1956,159,40
1957,312,29
1958,226,32
1959,310,46
1960,124,29
1961,239,24
1962,477,34
1963,261,13
1964,82,28
1965,128,98
1966,52,175
1967,30,152
1968,13,84
1969,41,61
1970,41,101
1971,6,85
1972,16,84
1973,11,170
1974,39,157
1975,12,82
1976,12,216
1977,10,224
1978,33,173
1979,26,90
1980,8,167
1981,17,87
1982,123,229
1983,206,211
1984,46,124
1985,96,267
1986,43,293
1987,61,111
1988,39,108
1989,24,44
1990,62,23
1991,83,74
1992,40,44
1993,67,7
1994,25,30
1995,92,20
1996,70,12
1997,76,14
1998,83,8
1999,169,6
2000,155,14
2001,115,3
2002,171,5
2003,67,6
2004,164,34
2005,215,93
2006,157,43
2007,319,16
2008,243,40
2009,145,34
2010,70,45
2011,134,22
2012,185,63
2013,237,57
2014,102,63
2015,197,40
2016,36,76
2017,58,104
2018,29,81
2019,19,97
2020,12,103
2021,24,68
2022,31,172
2023,25,185
2024,8,131
2025,19,140
2026,38,124
2027,8,120
2028,13,152
2029,15,237
2030,22,83
2031,23,215
2032,11,379
2033,23,298
2034,24,153
2035,56,475
2036,23,228
2037,20,755
2038,48,81
2039,210,216
2040,267,97
2041,58,44
2042,24,31
2043,106,68
2044,83,36
2045,40,33
2046,40,18
2047,41,15
2048,87,26
2049,65,2
2050,147,4
2051,136,8
2052,82,11
2053,75,8
2054,98,11
